"id"	"text"	"org"	"time"	"lang"
"504292489664000_1497194523707120"	"Awesome day. One of our best results beating a good Costa Rica team 4-3 and finishing second in the group by beating Wales 11-3. Can t wait for next group draw."	"Street Soccer NI"	1504193046	"en"
"267048219986944_1897482033610213"	"Supporting Communities launch new video http://supportingcommunities.org/latest-news/2017/9/25/supporting-communities-launch-new-video"	"Supporting Communities"	1506347396	"en"
"282485720383_10157996792920384"	"Always wanted to start your own business? Ortus are here to help you in your business journey with free support and advice!  Have a look at a recent case study about Artwork by Emer Dodds success on the Exploring Enterprise Programme.   Feeling inspired? Our next course starts on January 16th so why not reach out today and enquire about taking part?! 028 9031 1002  http://ortus.org/project/inspirational-portraits-artwork-emer-dodds/"	"Ortus Group"	1483530795	"en"
"141654136830_10151579295596831"	"Thanks to A McLeans Bookmakers who are our latest sign up for our Hug In A Mug Coffee Morning Campaign!  If like A McLeans you would like to make your coffee break matter and raise funds to support NICFC and Daisy Lodge  contact info@nicfc.com or Allison on 028 9080 5599  to receive your free fundraising pack."	"Cancer Fund For Children"	1379423514	"en"
"267048219986944_999817100043382"	"Supporting Communities NI’s 35th Edition of E-Zine now available-  Top Stories-  *DSD-Shaping Social Housing - Involving Communities  *Storey sets out proposals for a new regulatory framework *The Housing Executive is Issuing Gas Safety Advice to Tenants *Assembly News  *Housing and Policy Developments in UK and Republic of Ireland *The Family Resources Survey Urban Rural Report *SILVER SURFERS DAY-23rd April *Training Course *Funding"	"Supporting Communities"	1427798946	"en"
"504292489664000_1050149358411641"	"Good game of footie today at North Belfast. Good to see some new faces from Romania."	"Street Soccer NI"	1464119774	"en"
"62502980797_10152226845600798"	"Free places still available on our Positive Living Programme for next weekend.  The programme can really help you move forward with life after a cancer diagnosis.  Contact Mary on 07813044178 to book a place."	"Action Cancer"	1393605253	"en"
"62502980797_10152379260255798"	"Love football? Want to help a local charity raise awareness of male specific cancers? Why not get your club to organise a 6-a-side tournament for Action Cancer and we ll supply you with all the gear...email football@actioncancer.org for more details."	"Action Cancer"	1399489200	"en"
"62502980797_10155198337690798"	"Remember a loved one and raise money for Action Cancer. When someone we love dies  we often feel the need to do something positive in their memory as a tribute to them and allow their memory to live on. Donating in memory of a loved one  friend  neighbour or colleague is a personal way of supporting Action Cancer. Not only are you remembering someone special to you but you will also be helping others affected by cancer in Northern Ireland by giving the gift of hope.   Contact Amy: T: 028 90803 345  E: areynolds@actioncancer.org or visit www.actioncancer.org for more details"	"Action Cancer"	1490645100	"en"
"62502980797_10155603333620798"	"**Public Service Announcement**  Action Cancer will be closed on the 12th and 13th July 2017.  We will be back open for business on Friday 14th July!"	"Action Cancer"	1499788800	"en"
"126567104406_10152712905829407"	"Vad tycker du om Sveriges nya bostadsminister Mehmet Kaplan? Bra val eller inte? "	"Hyresgästföreningen"	1412328853	"en"
"282485720383_10158104701905384"	"We enjoyed working with Brónach on her startup business - Mantlepiece Cards.  If you re interested in starting your own business in 2017 sign up now to our free Go For It Starting A Business Workshop - https://www.eventbrite.co.uk/e/business-start-up-workshop-start-something-new-tickets-30926124872?aff=eac2"	"Ortus Group"	1485292821	"en"
"62502980797_10152389977625798"	"Congratulations to SuperValu NI and Centra NI on winning Best CSR Campaign at the Ulster Grocer Awards on Friday night for their partnership with Action Cancer! Well done everyone and thank you for your on-going support! "	"Action Cancer"	1399887929	"en"
"62502980797_10153314207055798"	"Even though its a wet and cold May day its wise to keep in mind that staying safe in the sun is really important. So when the sun returns  make sure to check your brand of sun screen this summer and make sure it complies with EU standards. Check out a recent report by WHICH that highlights which brands to avoid! http://www.bbc.co.uk/news/business-32738241  Why not book yourself in for a free health check in Action Cancer House where you can get a facial skin analysis and don’t forget to take care in sun this summer!!"	"Action Cancer"	1432034515	"en"
"267048219986944_698745933483835"	"CENI TRAINING COURSES Community Evaluation Northern Ireland has launched a new programme of outcomes and quality themed training courses from October 2013 to February 2014. Courses available are: Outcomes Courses · Analysing and Reporting on Your Outcomes: 26th November 2013 · Planning and Measuring Your Outcomes: 21st January 2014 Quality Courses · Introducing PQASSO: 5th December 2013 · Implementing PQASSO: 4th & 5th February 2014 (2 day course) To book a course please visit : http://www.ceni.org/course-booking-form For more information on training contact Gladys Swanton  Training Manager  CENI at gladys@ceni.org or tel. 028 9024 8005. They also offer customised training tailored to your needs."	"Supporting Communities"	1384808580	"en"
"267048219986944_1132127420145682"	"44th Edition of E-zine is now online! http://supportingcommunities.org/latest-news/2015/11/16/44th-edition-of-e-zine-is-now-online"	"Supporting Communities"	1447672531	"en"
"301522759885516_1114103961960721"	"Busy coffee morning at Larne Adult Learning Centre."	"Macmillan NI"	1475239279	"en"
"62502980797_10155187968515798"	"The Irish Football Association partner with Action Cancer for their  Back in the Game  fitness and health initiative! It s been a successful day at the launch with lots more events to come."	"Action Cancer"	1489323646	"en"
"301522759885516_907374009300385"	"How amazing are the bakers at Ulster Bank DSE... They surpass themselves every year.. Big thanks to Roseann for organising!!!"	"Macmillan NI"	1443169515	"en"
"62502980797_10153133960840798"	" New services have commenced in Lurgan .  We are now offering free complementary therapy to children/young people and adults affected by cancer in Mount Zion House in Lurgan. We are holding a launch event on 11 March  3.15pm in Mount Zion House/ Lurgan - if you would like to attend please ring us on 028 9080 3370. Read the full story at http://tinyurl.com/lfpu92g"	"Action Cancer"	1425653945	"en"
"282485720383_10159407304200384"	"Happy #SocialSaturday2017 to all the fantastic social enterprises out there. Giving back is fundamental to Ortus  social ethos and we re very proud of it."	"Ortus Group"	1507971600	"en"
"267048219986944_1068414216517003"	"Woodland Trust – Free Trees to Community Groups and schools   This August marks the 100th anniversary of the outbreak of the First World War and the Woodland Trust would like you to take part in a once-in-a-generation tribute to all those who gave their lives by creating a growing legacy that will stand tall for centuries to come.   Over the next four years they are offering three million free trees to help communities  schools and youth groups remember their local heroes. The Woodland Trust not only want to create a lasting legacy for those involved in World War 1  but also improve their local area - and would like people to get involved while supplies are still available.   Trees are available to schools and local groups such as Scouts  Guides  sports clubs and parish councils  who can apply for a pack via the Woodland Trust website. The Trust is encouraging people to organise tree planting events in their local area as part of its First World War Centenary Woods campaign that aims to see millions of trees planted across the UK.   https://www.woodlandtrust.org.uk/plant-trees/in-your-community/"	"Supporting Communities"	1438071771	"en"
"211880095555038_851772778232430"	"Mimmi Granat sammanfattade ur WFDYS General Assembly i Istanbul  Turkiet."	"Sveriges Dövas Ungdomsförbund"	1438164699	"en"
